שֶׁמֵּתוּ,"('R', 'NN')","('מֵת', 'VB')","('מֵת', 'NN')","('תָּו', 'NN')"
יָצְאוּ,"('R', 'VB')","('יָצָא', 'VB')",,
מִידֵי,"('A', 'yyDOT')","('מִידֵי', 'IN')","('יָד', 'NN')",
מְעִילָה,"('R', 'NN')","('מְעִילָה', 'NN')","('מְעִיל', 'NN')","('עִלָּה', 'NN')"
דְּבַר,A,דְּבַר,בַּר,
תּוֹרָה,"('R', 'NN')","('תּוֹרָה', 'NN')","('תּוֹר', 'NN')","('הוֹרָה', 'VB')"
אַלְמָא,A,אַלְמָא,,
מִדְּאוֹרָיְיתָא,A,דְּאוֹרָיְיתָא,,
לָא,A,לָא,,
אִית,A,אִית,,
לְהוֹן,"('R', 'NN')","('הוֹן', 'NN')",,
בִּדְרַבָּנַן,A,דְּרַבָּנַן,רַבָּנַן,
אִית,A,אִית,,
בְּהוֹן,"('A', 'yyDOT')","('הוֹן', 'NN')",,
הָכִי,A,הָכִי,,
נָמֵי,A,נָמֵי,,
מִדְּרַבָּנַן,A,דְּרַבָּנַן,רַבָּנַן,
,,,,
לֵימָא,A,לֵימָא,,
תְּנֵינָא,A,תְּנֵינָא,,
לְהָא,A,הָא,,
דְּעוּלָּא,A,,,
אָמַר,"('R', 'VB')","('אָמַר', 'VB')","('הֵמַר', 'VB')",
רַבִּי,"('R', 'JJT')","('רַבִּי', 'NN')","('רַב', 'JJ')","('רַבִּים', 'שֵם ז""ר')"
יוֹחָנָן,"('R', 'NNP')","('יוֹחָנָן', 'A')",,
אַף,"('R', 'CC')","('אַף', 'CC')","('אַף', 'NN')","('אַף', 'NN')"
עַל,"('R', 'IN')","('עַל', 'IN')","('עַל', 'Prefix')","('עָל', 'סופית')"
גַּב,A,גַּב,,
דִּתְנֵינָא,A,תְּנֵינָא,,
אִיצְטְרִיךְ,A,אִצְטְרִיךְ,,
דְּעוּלָּא,A,,,
סָלְקָא,A,סָלְקָא,,
דַּעְתָּךְ,A,דַּעְתָּךְ,,
אָמֵינָא,A,אָמֵינָא,,
הָכָא,A,הָכָא,,
לָא,A,לָא,,
